username,views,likes,comments,caption,category,primary_signal,marketing_takeaway
anllela_sagra,59656,708302,6542,bye 2025 🖤,Unclassified,Error,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 42.217991813s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '42s'}]}}"
athleanx,928199,50753,641,"COMING SOON: I got a chance to meet with my good friend Dr. Andrew Huberman @hubermanlab at the legendary Gold’s Gym in Venice Beach where so many legends trained with high intensity and incredible effort. Andrew and I talked shop and went through an arm workout together where applied science, anatomy, and biomechanics…and some plain old fashioned effort! As you know, I preach smart training at all times and putting the science back in strength so what better workout partner could there be to get our swole on?!

Keep an eye out for the full workout and Humberman Lab podcast! #athleanx #hubermanlab #train #workout #getafterit",Unclassified,Error,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 40.781961646s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '40s'}]}}"
athleanx,653732,27947,178,Training is like a symphony. The muscles are your instruments. The timing is your tempo. The result is pleasing to the eyes rather than the ears…and when you do it right you can literally feel it in your soul and know that you have. None better than the master of muscle himself @schwarzenegger to describe what I’m saying. Let the gains begin! #biceps #trainingtips #musclebuilding #bicepcurls #athleanx,Unclassified,Error,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 39.306220606s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '39s'}]}}"
athleanx,633645,36658,146,"One of the most overlooked, under appreciated joints of the body is the scapulothoracic because of its rotational requirements  but necessity for stability at the same time. These moves are pretty incredible but they do demand that you’ve already got some damn good shoulder mobility to do them. Try the simpler angel and devil shown at the end if you want more of an “on-ramp” exercise that you can do anywhere to get the ball rolling (literally and figuratively!) #shoulders #shoulderblade #mobility #exercises #athleanx",Unclassified,Error,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 37.817556714s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '37s'}]}}"
aunubeauty,1500,-1,8,"Happy World Bee Day!

To celebrate, AUNU founder and CEO @jenn_aunu and Chief of Dermatology, Dr. Adam Geyer, are spotlighting all the ways we support these prolific pollinators.

Through an exclusive partnership with New Zealand–based Comvita, a certified B Corp and the global leader in Mānuka honey, AUNU’s proprietary Medihoney® medical-grade Mānuka honey is harvested from hives that are actively protected—across more than 30,000 colonies, in some of the world’s most remote terrain—so bees can produce our 4-in-1 active ingredient, and sustain entire systems:

🐝Pollination: Roughly one-third of the global food supply depends on pollinators like bees.

🐝Ecosystem Health: Bees support plant reproduction, which sustains entire habitats.

🐝Biodiversity: More pollination = more resilient, diverse ecosystems.

With an ongoing dedication to rewilding landscapes, Comvita is creating healthier environments to support healthier bees. 

Healthier bees produce better honey. 

Better honey goes into every one of our clinically-backed formulas.

#AunuBeauty #ManukaHoney #MedicalGradeSkincare #WorldBeeDay",Unclassified,Error,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 36.207389687s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '36s'}]}}"
beyondthestagetv_,0,1351,26,"CONFIRMED by @bossofoutlaw - @william_bonac (2024 Empro Classic winner) will go head to head AGAIN with @behrouz_tabani at the @emproclassic.

2024 it was a 1 point decision in both pre-judging and finals but then let’s not forget that it was a reverse result at the Dubai PRO in 2024 & 2025 where @behrouz_tabani beat @william_bonac.

2025 also saw Bonac place 2 spots above Tabani at the Olympia making it 2-2. Who will make it 3-2 in their favour come Empro?

📹 @beyondthestagetv_ (interview link in the bio)

#btstv",Unclassified,Error,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 34.577423914s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '34s'}]}}"
biolayne,492294,31145,787,"Doc Amen is Confused About Research Study Design 

Follow @biolayne for more NO BS info

This clip is from @doctor.mike The Checkup podcast, a show I’ve been on, and one I respect because Mike actually asks the questions people avoid answering.
In this interview, Doc Amen claims he’s done “more studies than anyone.”

So Dr. Mike does what a good science communicator should do:
➡️ “Can you cite a randomized controlled trial?”
➡️ “Is there meta-analytic evidence?”
And… he never answers.
No citation.
No trial.
No meta-analysis.
Instead, we get word salad, deflection, and confusion about why randomized controlled trials matter in the first place.
RCTs aren’t a “nice to have.”
They’re the minimum bar when you’re making clinical claims, especially claims tied to diagnostics, treatments, or interventions that people pay for.
If someone says:
“I have done studies,” but doesn’t cite a single study, that’s not evidence, that’s marketing.
Credit where it’s due: Dr. Mike stays calm, presses respectfully, and exposes the gap without grandstanding. This is exactly how pseudoscience gets challenged — not by yelling, but by asking for receipts.
Extraordinary claims require extraordinary evidence
End of story.",Unclassified,Error,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 32.938487607s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '32s'}]}}"
biolayne,37005,2251,70,"“Inflammation” is the biggest buzzword in nutrition

And 99% of the people talking about it have absolutely no clue what it is or how it works

It’s like fitness influencers discovered the word “inflammation” and now suddenly it explains literally everything. Can inflammation affect health markers? Of course. But this idea that inflammation is somehow “locking your fat cells shut” is complete nonsense. There’s no evidence your body is refusing to burn fat because your fat cells are in “survival mode.” People with insulin resistance and high inflammation lose the same amount of body fat under similar calorie deficits as non-insulin resistant, low inflammatory people (PMID: 17023708)

In fact, the research largely shows the opposite direction of causality:
More adipose tissue → more inflammation
Less adipose tissue → less inflammation
Meaning excess body fat itself is a major DRIVER of chronic low-grade inflammation (PMID: 41598484). This guy has the cart completely before the horse.

And then, like clockwork here come all the buzzwords:
✅ inflammation!
✅ cortisol!
✅ insulin resistance!
✅ hormones!

Just a giant buzzword soup designed to scare you into buying an “anti-inflammatory protocol.”
Here’s the reality:
You do NOT need a detox.
You do NOT need a cortisol reset.
You do NOT need a supplement stack blessed by an infrared sauna shaman.

A legitimately anti-inflammatory lifestyle is actually pretty boring:
✅ maintain a healthy body fat level
✅ resistance train regularly
✅ eat enough protein
✅ eat enough fiber
✅ get fruits & vegetables
✅ sleep enough
✅ exercise consistently

Ya know… the boring stuff that WORKS

Ironically, the people selling “anti-inflammatory protocols” usually make nutrition MORE stressful and restrictive, which is probably worse for adherence than the inflammation they’re fearmongering about. Your body composition is mostly governed by energy balance, diet quality, activity, sleep, and consistency over time, not because your fat cells are holding a hostage negotiation with your inflammation and cortisol levels",Unclassified,Error,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 31.483865883s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '31s'}]}}"
biolayne,27277,1439,178,"LDL cholesterol is one of the most well-established causal risk factors in all of medicine.

And this graph is exactly why.

In my latest podcast episode on seed oils I explain why LDL matters. Anti-seed oil psychos will try to convince you LDL doesn’ matter but the DATA IS CLEAR

Different genetic variants. Different mechanisms. Same result:
Lower lifetime LDL exposure = lower cardiovascular disease risk (PMID: 23083789).

Not kinda.
Not “maybe.”
Not “only if inflammation is high.”
Not “only if LDL is oxidized.”
Not “only if your triglycerides are high.”

The relationship is log-linear and remarkably consistent. That means regardless of HOW LDL is lowered, reducing exposure reduces risk by the SAME amount (~50-55% reduction in CVD risk per 1mmol lifetime reduction in LDL). Statins, PCSK9 inhibitors, ezetimibe, genetics… same pattern.

If you still think LDL cholesterol has nothing to do with cardiovascular disease after looking at this data, then honestly, there’s probably no amount of evidence that will convince you. This is what causality looks like in human data.
And no, saying “but cholesterol is important for hormones/cell membranes/brain function” is not an argument against this. Oxygen is essential for life too, but too much of the wrong thing in the wrong place can still kill you and your body can make plenty of the cholesterol you need with VERY LITTLE cholesterol intake

DATA>feelings
#biolayne #ldl #cholesterol

Full discussion in my latest podcast episode about seed oils. Link in bio",Unclassified,Error,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 30.036910274s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '30s'}]}}"
bodybuildingcom,26232,628,13,"This is the ULTIMATE GUIDE to making HOMEMADE PISTACHIO NOUGAT BARS🍫🌰 by @kin.elevital 

✅ The steps to preparing homemade pistachio nougat bars:

1. Blend until smooth:
 - 2 cups roasted pistachios (to make creamy pistachio butter)

2. Mix in a bowl until you get a soft nougat:
 - 12 dates
 - 1 cup almonds
 - 1/4 tsp sea salt

3. Spread the creamy pistachio butter over the nougat, then sprinkle with:
 - 1/2 cup chopped pistachios

4. Press the mixture firmly into a lined baking tray.

5. Put the tray in the freezer for at least 1 hour to set.

6. Once set, cut into rectangular bars and dip each bar in melted dark chocolate, then sprinkle with a touch of sea salt and extra chopped pistachios.

7. Put the bars back in the freezer for 15 minutes to let the chocolate harden.

8. Enjoy your delicious and crunchy pistachio nougat bars 😋

#chocolate #chocolatelover #pistachio #pistachios #granola nutbar chocolatebar healthydessert healthyrecipes dessert snack easyrecipe fyp foryou usa nyc canada toronto uk england london australia newzealand",Unclassified,Error,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 28.60830452s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '28s'}]}}"
bodybuildingcom,3696,62,4,"Listen to the @fairygymother : “@nutrexresearch has the best tasting EAA’s I’ve ever tried & 9 flavors to choose from😼”

Shop now and get 20% off all @nutrexresearch at Bodybuilding.com (link in story ) 

Link to the study I read here ⬇️
https://pmc.ncbi.nlm.nih.gov/articles/PMC10561576/

#nutrexresearch #nutrex #teamnutrex",Unclassified,Error,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 27.096757433s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '27s'}]}}"
bodybuildingcom,3022,96,1,"Check out the newest products to hit @bodybuildingcom! 

Bodybuilding Health Plus 

Including advanced support for longevity, personal health, recovery, and weight management, all designed to help you optimize beyond the gym! 

Now available at bbhealthplus.com 
Link in story @bodybuildingcom",Lead Generation,Now available at bbhealthplus.com,"For our health platform, directly embedding product links and clear calls-to-action within captions is crucial for converting engaged users into immediate sales or website visitors."
